"FLUXNET Code","PhenoCam","Site Description","Latitude (°)","Longitude (°)","Altitude (m)","MAT (°C)","MAP (mm)","Mean January Temperature (°C)","Mean July Temperature (°C)","Snow Days","Dominant Species","DOI"
"CA-Ca3","vancouverisland","Pole sapling Douglas-fir stand, British Columbia",49.5346,-124.9004,173,9.9,1676,2.4,17.4,8,"Pseudotsuga menziesii","https://doi.org/10.17190/AMF/1480302"
"CA-Obs","canadaOBS","Western Boreal, Mature Black Spruce, Saskatchewan",53.9872,-105.1178,628,0.8,405,-17.8,16.7,115,"Picea mariana, Larix laricina","https://doi.org/10.17190/AMF/1375198"
"CA-Qfo","chibougamau","Eastern Boreal, Mature Black Spruce, Quebec",49.6925,-74.3421,382,-0.4,962,-19.3,16.1,117,"Picea mariana ","https://doi.org/10.17190/AMF/1246829"
"CA-TP1","turkeypointenf02","Turkey Point 2002 Plantation White Pine, Ontario",42.6609,-80.5595,265,8,1036,-4.2,21.4,30,"Pinus strobus","https://doi.org/10.17190/AMF/1246009"
"CA-TP3","turkeypointenf74","Turkey Point 1974 Plantation White Pine, Ontario",42.7068,-80.3483,216,8,1036,-4.4,21.3,18,"Pinus strobus","https://doi.org/10.17190/AMF/1246011"
"CA-TP4","turkeypointenf39","Turkey Point 1939 Plantation White Pine, Ontario ",42.7102,-80.3574,232,8,1036,-4.4,21.2,34,"Pinus strobus, Abies balsamea, Quercus velutina, Quercus alba, Acer rubrum","https://doi.org/10.17190/AMF/1246012"
"US-Ho1","howland1","Howland Forest, Maine",45.2041,-68.7402,60,5.3,1070,-9.2,19.8,51,"Picea rubens, Tsuga canadensis, Acer rubrum ","https://doi.org/10.17190/AMF/1246061"
"US-Me2","oregonMP","Metolius mature ponderosa pine, Oregon",44.4523,-121.5574,1253,6.3,523,-0.5,16.7,49,"Pinus ponderosa  ","https://doi.org/10.17190/AMF/1246076"
"US-Me6","oregonYP","Metolius Young Pine Burn, Oregon",44.3233,-121.6078,998,7.6,494,0.4,17.7,45,"Pinus ponderosa  ","https://doi.org/10.17190/AMF/1246128"
"US-NR1","niwot5","Niwot Ridge Forest (LTER NWT1),Colorado",40.0329,-105.5464,3050,1.5,800,-6.8,12.7,71,"Picea engelmannii, Abies lasiocarpa, Pinus contorta","https://doi.org/10.17190/AMF/1246088"
"US-SP1","austincary","Austin Cary, Slashpine",29.7381,-82.2188,50,20.1,1310,12.5,27.4,4,"Pinus palustris, Pinus elliotti ","https://doi.org/10.17190/AMF/1246100"
