#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:16:36
# Spline RMSE gcc_mean: 5.22652
# Spline RMSE gcc_50: 5.53361
# Spline RMSE gcc_75: 5.23948
# Spline RMSE gcc_90: 5.32865
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,1000,falling,gcc_90,2017-12-25,2017-12-11,2017-11-22,2017-12-26,2017-12-12,2017-11-23,2017-12-24,2017-12-10,2017-11-21,4.65296,9.70028,18.27604,1.51443,34.612
turkeypointenf74,EN,1000,falling,gcc_90,2016-12-03,2016-11-18,2016-10-22,2016-12-04,2016-11-19,2016-10-23,2016-12-02,2016-11-17,2016-10-21,-3.42753,1.79105,11.11126,-6.65635,28.41084
turkeypointenf74,EN,1000,falling,gcc_90,2015-12-18,2015-12-02,2015-10-29,2015-12-19,2015-12-03,2015-10-31,2015-12-17,2015-12-01,2015-10-28,-1.50506,3.58012,12.39653,-4.63573,28.92854
turkeypointenf74,EN,1000,falling,gcc_90,2014-12-20,2014-12-04,2014-11-06,2014-12-21,2014-12-05,2014-11-07,2014-12-19,2014-12-03,2014-11-05,-4.9823,0.47225,10.09635,-8.60794,28.68701
turkeypointenf74,EN,1000,falling,gcc_90,2013-12-19,2013-11-30,2013-11-01,2013-12-20,2013-12-01,2013-11-02,2013-12-18,2013-11-29,2013-10-31,-5.88703,0.45345,11.43759,-10.05287,32.68696
turkeypointenf74,EN,1000,falling,gcc_90,2012-12-15,2012-11-29,2012-11-02,2012-12-16,2012-11-30,2012-11-03,2012-12-14,2012-11-28,2012-11-01,-7.50373,-1.44715,9.02943,-11.47073,29.2724
turkeypointenf74,EN,1000,falling,gcc_75,2017-12-23,2017-12-10,2017-11-21,2017-12-24,2017-12-11,2017-11-22,2017-12-22,2017-12-09,2017-11-20,2.44613,7.27013,15.65511,-0.52891,31.6661
turkeypointenf74,EN,1000,falling,gcc_75,2016-12-01,2016-11-16,2016-10-21,2016-12-02,2016-11-17,2016-10-22,2016-11-30,2016-11-15,2016-10-20,-5.31393,-0.08835,8.631,-8.54542,25.72999
turkeypointenf74,EN,1000,falling,gcc_75,2015-12-18,2015-12-02,2015-10-31,2015-12-19,2015-12-03,2015-11-01,2015-12-16,2015-12-01,2015-10-30,-3.92786,1.11817,9.48976,-6.89771,25.77659
turkeypointenf74,EN,1000,falling,gcc_75,2014-12-18,2014-12-02,2014-11-03,2014-12-19,2014-12-03,2014-11-04,2014-12-17,2014-12-01,2014-11-02,-6.48595,-1.15951,8.18747,-10.00176,26.11622
turkeypointenf74,EN,1000,falling,gcc_75,2013-12-19,2013-11-30,2013-11-01,2013-12-20,2013-12-01,2013-11-02,2013-12-18,2013-11-29,2013-10-31,-7.81185,-1.68751,9.16619,-11.77409,29.64558
turkeypointenf74,EN,1000,falling,gcc_75,2012-12-14,2012-11-27,2012-10-31,2012-12-15,2012-11-28,2012-11-01,2012-12-13,2012-11-26,2012-10-30,-9.05133,-3.07622,7.04907,-12.65551,26.56932
turkeypointenf74,EN,1000,falling,gcc_50,2017-12-24,2017-12-12,2017-11-24,2017-12-25,2017-12-13,2017-11-25,2017-12-23,2017-12-11,2017-11-23,-2.71369,1.69477,10.02203,-5.76979,25.76975
turkeypointenf74,EN,1000,falling,gcc_50,2016-12-02,2016-11-18,2016-10-22,2016-12-03,2016-11-19,2016-10-23,2016-12-01,2016-11-17,2016-10-21,-8.06724,-3.77441,4.24647,-11.08022,19.2561
turkeypointenf74,EN,1000,falling,gcc_50,2015-12-18,2015-12-03,2015-11-02,2015-12-19,2015-12-04,2015-11-03,2015-12-17,2015-12-02,2015-11-01,-7.00489,-2.50981,5.19121,-9.81253,20.0938
turkeypointenf74,EN,1000,falling,gcc_50,2014-12-17,2014-12-02,2014-11-04,2014-12-18,2014-12-03,2014-11-05,2014-12-16,2014-12-01,2014-11-03,-9.30978,-4.49802,4.10451,-12.57508,20.6423
turkeypointenf74,EN,1000,falling,gcc_50,2013-12-17,2013-11-28,2013-11-01,2013-12-18,2013-11-29,2013-11-02,2013-12-16,2013-11-27,2013-10-31,-11.62672,-5.77587,4.45366,-15.29788,24.03328
turkeypointenf74,EN,1000,falling,gcc_50,2012-12-16,2012-11-30,2012-11-02,2012-12-17,2012-12-01,2012-11-03,2012-12-15,2012-11-29,2012-11-01,-12.0501,-6.55768,2.7454,-15.47585,20.34459
turkeypointenf74,EN,1000,falling,gcc_mean,2017-12-24,2017-12-12,2017-11-24,2017-12-25,2017-12-13,2017-11-26,2017-12-23,2017-12-11,2017-11-23,-3.80416,0.4819,8.56767,-6.76403,23.05935
turkeypointenf74,EN,1000,falling,gcc_mean,2016-12-05,2016-11-20,2016-10-26,2016-12-06,2016-11-21,2016-10-27,2016-12-04,2016-11-19,2016-10-25,-9.1025,-4.72997,2.73388,-11.78166,16.87113
turkeypointenf74,EN,1000,falling,gcc_mean,2015-12-20,2015-12-05,2015-11-04,2015-12-21,2015-12-06,2015-11-05,2015-12-18,2015-12-04,2015-11-03,-7.76307,-3.42188,4.03814,-10.34404,18.13447
turkeypointenf74,EN,1000,falling,gcc_mean,2014-12-20,2014-12-04,2014-11-08,2014-12-21,2014-12-05,2014-11-09,2014-12-19,2014-12-03,2014-11-07,-10.79259,-5.83676,2.39693,-13.85917,18.44834
turkeypointenf74,EN,1000,falling,gcc_mean,2013-12-19,2013-11-30,2013-11-03,2013-12-20,2013-12-01,2013-11-04,2013-12-18,2013-11-29,2013-11-02,-12.59998,-6.88272,3.05183,-16.07742,21.60787
turkeypointenf74,EN,1000,falling,gcc_mean,2012-12-18,2012-12-03,2012-11-05,2012-12-19,2012-12-04,2012-11-06,2012-12-17,2012-12-01,2012-11-04,-13.18391,-8.08427,0.92703,-16.33091,18.00432
