"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"falling","grvi_50","2016-10-25","2016-10-19","2016-10-10","2016-10-31","2016-10-24","2016-10-15","2016-10-19","2016-10-14","2016-10-06",0.00237,0.00724,0.01638,-4e-04,0.0313
"austincary","US-SP1","EN",1000,"falling","grvi_mean","2017-11-18","2017-11-10","2017-10-30","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.0076,0.01505,0.02882,0.00341,0.05183
"austincary","US-SP1","EN",1000,"falling","grvi_mean","2016-10-25","2016-10-19","2016-10-10","2016-10-30","2016-10-23","2016-10-15","2016-10-19","2016-10-15","2016-10-06",0.00297,0.00794,0.01717,1e-04,0.03282
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2016-05-10","2016-05-31","2016-06-30","2016-05-09","2016-05-30","2016-06-29","2016-05-11","2016-06-01","2016-07-01",54.4316,57.43232,62.63302,52.51316,72.40442
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2017-04-15","2017-05-11","2017-06-06","2017-04-14","2017-05-10","2017-06-05","2017-04-16","2017-05-12","2017-06-07",52.21229,55.19866,60.54901,50.13711,70.92023
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2018-04-05","2018-04-29","2018-07-28","2018-04-04","2018-04-28","2018-07-26","2018-04-06","2018-04-30","2018-07-29",50.63786,53.10707,57.75991,48.962,65.86245
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2016-05-10","2016-05-30","2016-07-01","2016-05-09","2016-05-29","2016-06-30","2016-05-11","2016-05-31","2016-07-02",51.92921,54.77216,59.77563,50.08442,69.25076
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2017-04-17","2017-05-14","2017-06-12","2017-04-16","2017-05-13","2017-06-10","2017-04-18","2017-05-15","2017-06-13",49.3046,52.75677,58.84426,46.98175,70.26366
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2018-04-07","2018-07-08","2018-07-28","2018-04-06","2018-07-07","2018-07-27","2018-04-08","2018-07-09","2018-07-29",47.06241,49.56616,53.90386,45.49648,61.99082
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2016-05-13","2016-06-02","2016-07-01","2016-05-12","2016-06-01","2016-06-30","2016-05-14","2016-06-03","2016-07-02",47.71244,50.46246,55.1557,45.91911,64.27307
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2017-04-15","2017-05-10","2017-06-06","2017-04-14","2017-05-09","2017-06-05","2017-04-16","2017-05-11","2017-06-07",44.42426,47.17823,51.97252,42.6578,61.12082
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2018-07-17","2018-07-26","2018-08-06","2018-07-16","2018-07-25","2018-08-05","2018-07-18","2018-07-27","2018-08-07",43.06364,45.05497,48.98698,41.80147,55.90072
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2016-05-20","2016-06-12","2016-07-08","2016-05-19","2016-06-11","2016-07-07","2016-05-22","2016-06-13","2016-07-09",45.97517,48.74011,53.35544,44.25449,62.42776
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2017-04-19","2017-05-20","2017-06-18","2017-04-18","2017-05-19","2017-06-17","2017-04-21","2017-05-21","2017-06-19",43.22714,46.23304,51.18204,41.34977,60.95413
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2018-07-17","2018-07-26","2018-08-06","2018-07-16","2018-07-25","2018-08-05","2018-07-18","2018-07-27","2018-08-07",41.21544,43.49484,47.46594,39.98021,54.49703
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2018-11-23","2018-11-15","2018-11-01","2018-11-24","2018-11-16","2018-11-02","2018-11-22","2018-11-14","2018-10-31",47.85962,51.02204,56.60914,45.98599,66.84067
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2017-11-12","2017-11-01","2017-10-14","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",49.57165,53.26443,59.33902,47.49698,71.05878
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2016-11-12","2016-11-04","2016-10-21","2016-11-13","2016-11-05","2016-10-22","2016-11-11","2016-11-03","2016-10-20",52.22854,55.35786,61.66296,50.17413,72.54759
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2018-11-24","2018-11-15","2018-11-01","2018-11-25","2018-11-16","2018-11-02","2018-11-23","2018-11-14","2018-10-31",43.23906,46.59838,52.33356,41.39645,63.03598
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2017-11-13","2017-11-04","2017-10-13","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",47.3885,51.3428,58.08668,44.94874,70.54373
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2016-11-14","2016-11-04","2016-10-21","2016-11-15","2016-11-05","2016-10-23","2016-11-12","2016-11-03","2016-10-20",49.70065,53.10747,58.97527,47.7418,69.40845
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2018-11-29","2018-11-21","2018-11-06","2018-11-30","2018-11-22","2018-11-07","2018-11-28","2018-11-20","2018-11-05",37.25716,40.36412,45.81413,35.19597,55.92069
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2017-11-14","2017-11-07","2017-10-17","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",42.87013,45.97842,51.24309,41.02797,61.10188
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2016-11-13","2016-11-04","2016-10-21","2016-11-14","2016-11-05","2016-10-22","2016-11-12","2016-11-03","2016-10-20",46.21794,49.16427,54.77756,44.37085,64.61904
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2018-12-07","2018-11-27","2018-11-10","2018-12-08","2018-11-28","2018-11-11","2018-12-06","2018-11-26","2018-11-09",34.46421,37.69067,43.7952,32.49975,54.5232
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2017-11-17","2017-11-11","2017-10-29","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",41.13108,44.00043,50.007,38.99969,60.90725
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2016-11-15","2016-11-05","2016-10-22","2016-11-16","2016-11-06","2016-10-23","2016-11-14","2016-11-04","2016-10-21",44.14072,47.14327,52.78474,42.23169,62.74318
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2016-05-06","2016-05-17","2016-06-13","2016-04-29","2016-05-11","2016-06-02","2016-05-12","2016-05-25","2016-06-26",0.7312,0.76916,0.83228,0.70799,0.95428
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2017-05-13","2017-05-25","2017-06-15","2017-04-29","2017-05-20","2017-06-09","2017-05-19","2017-05-31","2017-06-21",0.74471,0.79485,0.87735,0.71484,1.03584
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2018-04-15","2018-05-05","2018-05-19","2018-03-12","2018-04-25","2018-05-12","2018-05-04","2018-05-12","2018-05-28",0.74535,0.7711,0.8226,0.72722,0.91387
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2016-05-17","2016-06-03","2016-07-02","2016-05-06","2016-05-25","2016-06-22","2016-05-29","2016-06-15","2016-07-10",0.68604,0.71905,0.77822,0.66379,0.89144
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2017-05-05","2017-05-19","2017-06-08","2017-04-17","2017-05-14","2017-06-02","2017-05-15","2017-05-25","2017-06-13",0.69201,0.73114,0.80631,0.66458,0.94574
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2018-04-10","2018-04-30","2018-05-17","2018-03-15","2018-04-17","2018-05-10","2018-04-25","2018-05-09","2018-05-30",0.70161,0.73104,0.78256,0.68234,0.88268
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2016-05-23","2016-06-07","2016-07-04","2016-05-13","2016-05-30","2016-06-26","2016-06-01","2016-06-17","2016-07-10",0.64269,0.67642,0.73462,0.62038,0.84869
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2017-04-29","2017-05-16","2017-06-05","2017-04-15","2017-05-10","2017-05-28","2017-05-10","2017-05-22","2017-06-11",0.65122,0.69039,0.76029,0.62506,0.891
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2018-04-14","2018-04-30","2018-05-19","2018-04-01","2018-04-22","2018-05-12","2018-04-24","2018-05-08","2018-07-12",0.66286,0.69242,0.74563,0.6438,0.84494
